popularity,english_title,release_year,runtime,tmdb_id,imdbRating,imdbVotes,rtAudienceRating,poster,backdrop,imdb_id,created_at,run_id,rtAudienceVotes,rt_id,lb_id,lbRating,lbVotes,tmdbRating,tmdbVotes,rtCriticRating,rtCriticVotes
74.0102,Anaconda,2025,100,1234731,5.6,34176,75,https://image.tmdb.org/t/p/w500/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,https://image.tmdb.org/t/p/w1280/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg,tt33244668,2026-01-16 11:52:01.778288+00,229,1000,/m/anaconda_2025,tmdb/1234731,2.5,200357,58,635,48,154
581.4114,Mercy,2026,100,1236153,6.2,15482,83,https://image.tmdb.org/t/p/w500/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg,https://image.tmdb.org/t/p/w1280/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,tt31050594,2026-01-16 11:52:01.778288+00,229,1000,/m/mercy_2026,tmdb/1236153,2.5,66997,68,294,24,171
31.9155,Young Mothers,2025,106,1242015,7,1589,95,https://image.tmdb.org/t/p/w500/okfaa71H1P0WC1uzYliOgYS2gte.jpg,https://image.tmdb.org/t/p/w1280/7UsW6pKkCdCmceBmdQ0MvV6zKhL.jpg,tt32909489,2026-01-16 11:52:01.778288+00,158,50,/m/young_mothers,tmdb/1242015,3.4,11740,65,42,95,61
18.1047,Playdate,2025,93,1248226,6,25167,57,https://image.tmdb.org/t/p/w500/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,https://image.tmdb.org/t/p/w1280/5lQ4euO30sDin5nCifvi0vURFNd.jpg,tt31425731,2026-01-16 11:52:01.778288+00,229,500,/m/playdate_2025,tmdb/1248226,2.2,50376,60,507,23,31
0.452,Little Emma,2024,80,1255069,5.3,173,95,https://image.tmdb.org/t/p/w500/x1zZnDu0Y0JdozO8tnVuG8Ua1aX.jpg,https://image.tmdb.org/t/p/w1280/4gd1HMGL7r2h2hLow1UIjvYMxox.jpg,tt23322940,2026-01-16 11:52:01.778288+00,229,0,/m/little_emma,tmdb/1255069,4.75,10,70,10,95,0
5.9721,The Choral,2025,113,1262815,,,,https://image.tmdb.org/t/p/w500/yQtms7CSM0CE0W6dYbLLAATb5rL.jpg,https://image.tmdb.org/t/p/w1280/4zyeIE8ceP95gehaPsgqamEYRuy.jpg,tt31851518,2026-03-01 23:46:36.91303+00,242,,,,,,,,,
0.399,Spices and Lies,2025,104,1266826,6.3,58,95,https://image.tmdb.org/t/p/w500/a70a7qC808rx05AL7GQpAloG350.jpg,https://image.tmdb.org/t/p/w1280/t8VKHx1n1zismz8qllx7EMuL74N.jpg,tt34487826,2026-01-16 11:52:01.778288+00,229,10,,tmdb/1266826,3.2,1241,72,6,95,250
227.7669,28 Years Later: The Bone Temple,2026,109,1272837,7.6,45595,88,https://image.tmdb.org/t/p/w500/kK1BGkG3KAvWB0WMV1DfOx9yTMZ.jpg,https://image.tmdb.org/t/p/w1280/hHDNOlATHhre4eZ7aYz5cdyJLik.jpg,tt32141377,2026-01-16 11:52:01.778288+00,220,1000,/m/28_years_later_the_bone_temple,tmdb/1272837,3.9,464439,72,446,92,318
18.7351,O'Romeo,2026,178,1275574,7,16641,,https://image.tmdb.org/t/p/w500/iD1C4p3S9KxsOiNGjbSTE2pISE4.jpg,https://image.tmdb.org/t/p/w1280/7AypNX6eZrqyUPZl77jvwTfHgeV.jpg,tt31969779,2026-02-10 20:06:33.501521+00,229,,/m/o_romeo,tmdb/1275574,,,60,1,,8
2.4371,Under the Stars,2025,99,1278983,4,523,95,https://image.tmdb.org/t/p/w500/oJjCXVwPbNq2QeNdNvG2atZHj11.jpg,https://image.tmdb.org/t/p/w1280/3NoOZppaNBXr9UUDZdzO3bQRPee.jpg,tt31614921,2026-01-16 11:52:01.778288+00,144,50,/m/under_the_stars_2025_2,tmdb/1278983,2.6,614,57,14,95,6
8.1306,Gabby's Dollhouse: The Movie,2025,98,1280282,5,2451,93,https://image.tmdb.org/t/p/w500/t6LLguAmu6iZUN8pWhT7Q0IcaQ5.jpg,https://image.tmdb.org/t/p/w1280/MrcSSzWGsXf2IUJpjPPFLlNbjX.jpg,tt32214143,2026-01-16 11:52:01.778288+00,154,500,/m/gabbys_dollhouse_the_movie,tmdb/1280282,2.6,6505,66,58,85,26
4.3998,Alpha,2025,128,1284460,3,2621,,https://image.tmdb.org/t/p/w500/iE3P4LFSJCBX5PRWxbPs7DQh7yI.jpg,https://image.tmdb.org/t/p/w1280/rakS8RAhKOMIplBi4RbluQg4Xqn.jpg,tt32275943,2026-02-10 20:06:33.501521+00,228,,/m/alpha_2025,tmdb/1284460,3.2,34354,65,89,56,62
10.8862,Pillion,2025,107,1287141,7,8784,78,https://image.tmdb.org/t/p/w500/7Pd6ChSQjSXy4snJiorSdzg2cG3.jpg,https://image.tmdb.org/t/p/w1280/rBYrtkAy9YtRuFpX1g6JbcjRT8h.jpg,tt32321317,2026-02-10 20:06:33.501521+00,229,100,/m/pillion,tmdb/1287141,3.5,91162,61,74,100,137
6.6092,Christy,2025,135,1287322,6,13486,95,https://image.tmdb.org/t/p/w500/ssy1uHGZkuXLkIWJWrtsBczPvVC.jpg,https://image.tmdb.org/t/p/w1280/d95WgAQXqDVlqbEHdLWfyvRG2ms.jpg,tt32323252,2026-01-16 11:52:01.778288+00,229,100,/m/christy_2025_2,tmdb/1287322,3.2,26635,73,86,67,200
1.891,The Great Arch,2025,104,1290424,5,949,95,https://image.tmdb.org/t/p/w500/5D6E7CuuFyXOmqlGVlUKP6tpNP3.jpg,https://image.tmdb.org/t/p/w1280/jCrMCnpQvCJOgEW4stUtbSBm17B.jpg,tt32398150,2026-01-20 17:15:21.870958+00,153,0,/m/the_great_arch,tmdb/1290424,3.6,15068,73,60,95,7
8.2127,A Private Life,2025,107,1290432,6,2055,65,https://image.tmdb.org/t/p/w500/AnZ9XzhouSSvQH337923RPFTaqK.jpg,https://image.tmdb.org/t/p/w1280/4218cv3nH0RrrfMdwaTnenguqOQ.jpg,tt33852162,2026-01-16 11:52:01.778288+00,229,100,/m/a_private_life_2025,tmdb/1290432,3.1,20382,58,79,81,108
506.2271,Shelter,2026,107,1290821,6.4,5822,87,https://image.tmdb.org/t/p/w500/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,https://image.tmdb.org/t/p/w1280/6YjnTRBz704LF1uJ3ZC4wsS9T8r.jpg,tt32357218,2026-01-31 16:29:13.35286+00,242,250,/m/shelter_2026,tmdb/1290821,2.7,22096,75,47,64,107
99999999,Solo Mio,2026,100,1291335,8,3216,96,https://image.tmdb.org/t/p/w500/efSsZJaddeq0LOABZqpCXdMxv9P.jpg,https://image.tmdb.org/t/p/w1280/fTG8itSb1a4O2BgUMjXdwO64qTz.jpg,tt32306991,2026-01-16 11:52:01.778288+00,242,10,/m/solo_mio,tmdb/1291335,3.2,8041,82,5,80,41
2.2616,That Summer in Paris,2025,77,1294706,8,326,95,https://image.tmdb.org/t/p/w500/1z3jgsuyyudTPNvZMftK7FeHSDK.jpg,https://image.tmdb.org/t/p/w1280/iRAQwlMZ5L2TfQ4kx0YUg69VEdW.jpg,tt35489613,2026-01-16 11:52:01.778288+00,229,10,/m/that_summer_in_paris,tmdb/1294706,3.5,2861,63,13,95,6
7.0285,Stand Your Ground,2025,100,1296504,,,,https://image.tmdb.org/t/p/w500/u4GW1qTNjooEFSXDBVDMmYb52qC.jpg,https://image.tmdb.org/t/p/w1280/wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,tt30826955,2026-03-01 23:46:36.91303+00,242,,,,,,,,,
999999,GOAT,2026,100,1297842,6.9,3179,93,https://image.tmdb.org/t/p/w500/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,https://image.tmdb.org/t/p/w1280/1qwhYqg7YEZajh3Q4biqbuQoDq8.jpg,tt27613895,2026-02-10 20:06:33.501521+00,242,,/m/goat_2026,tmdb/1297842,3.4,43413,73,43,82,68
0.1049,Of Dogs and Men,2024,82,1299351,8,106,95,https://image.tmdb.org/t/p/w500/wgftB8FYzBU9wPCUTFoSk4bmUcu.jpg,https://image.tmdb.org/t/p/w1280/fITJwJ60BCq6nefEcMu0q3ujubu.jpg,tt32432999,2026-01-20 17:15:21.870958+00,229,0,/m/of_dogs_and_men,tmdb/1299351,3.3,273,0,1,95,6
