imdb_id,english_title,hebrew_title,release_date,en_poster,backdrop,tmdb_id,old_uuid,id,created_at,run_id,release_year,en_trailer
tt26656750,Mariana's Room,חדרה של מריאנה,2026-04-16,https://image.tmdb.org/t/p/w500/rvdeYHZxJZvTqYOvzYxETPuokpY.jpg,https://image.tmdb.org/t/p/w500/kijIGFRnm7noVyQhn1fELe6ng7p.jpg,1000828,2e3ec5b6-a1e3-4f7c-a983-35de112dfac7,8fa93bc2-ff56-4a96-b05f-06c213f080be,2026-01-28 14:14:14.285878+00,156,,shW9i6k8cB0
tt2321555,The Cat in the Hat,חתול תעלול: הסרט,2026-11-05,https://image.tmdb.org/t/p/w500/tYH4rQZlHtuFSeDS0bsV17khvJC.jpg,https://image.tmdb.org/t/p/w500/pFLeuwKNJLC9ETW17uBaUwTWxWl.jpg,1117898,819a6662-2123-4749-af17-8bfdc4b46a67,90befed8-c890-4382-bc55-1d937a601022,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt30826955,Stand Your Ground,השורד אחרון 2,2026-02-26,https://image.tmdb.org/t/p/w500/u4GW1qTNjooEFSXDBVDMmYb52qC.jpg,https://image.tmdb.org/t/p/w500/wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,1296504,b3bc6b1c-ed34-40c6-a084-f5acfcd74024,9418a977-4bf9-4d8d-a0d3-cf3b221a407a,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt32766835,Three Men for Vilma,"שלג, גברים וצרות אחרות",2026-04-02,https://image.tmdb.org/t/p/w500/m0AuWkI0mJzkF0beoysJkntBNse.jpg,https://image.tmdb.org/t/p/w500/eNdkax16z4qrBer1jFThb6qh2YU.jpg,1340922,db17f4fa-8302-46da-9a9f-0a00ef6c4433,96fa16d7-e57f-46e7-b92e-80d71c925b91,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt0250687,Rat Race,מיליונר מי שגומר ראשון,2026-03-05,https://image.tmdb.org/t/p/w500/3dpim9bLdi5uh55idJ6HxA7eZH4.jpg,https://image.tmdb.org/t/p/w500/vian6RN3bC4QdBQzY1wTmBkhxVQ.jpg,9896,3a74c212-277f-4dac-bbfa-31c569697216,9f69ad4d-05fb-4ddc-a5b2-ffb5ccf84db1,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt17490712,Mortal Kombat II,מורטל קומבט 2,2026-05-07,https://image.tmdb.org/t/p/w500/lGamD2f6xEZJSoXlntAd5wvQnWZ.jpg,https://image.tmdb.org/t/p/w500/tAeiebNAyYC23FjUEkgyUm9SnEo.jpg,931285,5dd2ffde-9777-43b1-b8a2-9a8e8eaeee63,a02c092b-0285-4526-9eef-6b56bb37fbad,2026-02-10 19:46:38.973754+00,220,,shW9i6k8cB0
tt27047903,Scream 7,צעקה 7,2026-02-25,https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,https://image.tmdb.org/t/p/w500/yWCZc2TcsCYbMMjvUIsczmQi2TX.jpg,1159559,a8b0af78-ada0-47f7-b838-4ea6284b17f2,a057c60a-6a69-42eb-9696-86d29af840f3,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt2088893,Shell,שקר היופי,2026-04-02,https://image.tmdb.org/t/p/w500/ccAlGG65s2Q5J0Roy6T2rmBQqhi.jpg,https://image.tmdb.org/t/p/w500/r6ywEjkxI7020Qmf3PF499Arku5.jpg,135990,f9ee7390-5aba-4fac-94f9-f1a06d39ce0e,a47b1685-5e31-4abc-bc71-be3faa8cdb8b,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt3331548,Not Without Hope,הישרדות ללא תקווה,2026-04-02,https://image.tmdb.org/t/p/w500/evnbvmkoon2YTjlAodCwSmfU8Od.jpg,https://image.tmdb.org/t/p/w500/rJ7PB78ZcBaCPxQRLrZxh4M2Z0N.jpg,339849,c063da22-01a2-4265-9e0c-29753506f4f6,a6049aab-c54d-4724-9673-9652dae97814,2026-02-10 19:46:38.973754+00,220,,shW9i6k8cB0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,שודדי הקאריביים: קללת הפנינה השחורה - כתוביות בערבית قراصنة الكاريبي: لعنة القراصنة السود,2026-04-23,https://image.tmdb.org/t/p/w500/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,https://image.tmdb.org/t/p/w500/uRNgkJSkNBFbbn9fPsEjDIy8Sh3.jpg,22,3063230f-c037-4a15-91d8-5bb5129c0f38,ac3d63d9-d316-443d-8eb0-0db245fa2f44,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt0427340,Masters of the Universe,שליטי היקום,2026-06-04,https://image.tmdb.org/t/p/w500/nm2ianYVp7OXElUZVeeAbNTqBLr.jpg,https://image.tmdb.org/t/p/w500/bLYjQ6KNrJzh6AAEfOAl6vPI2xh.jpg,454639,39cb16fb-c9fc-4f45-832d-f272b1b257e7,b1b4214a-3651-4684-b0cc-003abdede30c,2026-02-04 09:57:11.996231+00,219,,shW9i6k8cB0
